event,status,n_posterior,n_prior,kl_15D_bits,kl_15D_nats,prev_joint_mean_bits,prev_group_total_mean_bits,prev_marginal_1d_bits,delta_gauss_minus_joint_bits,cond_prior,cond_post,error
GW150914_095045,ok,147634,5000,41.246553011584595,28.589931927796183,39.6316590886569,38.90488487382637,36.8966538451319,1.614893922927692,1169219949.3168976,1925026592.0837064,
GW191103_012549,ok,9914,5000,28.968362591399337,20.07933885566664,28.678,28.178,23.659,0.2903625913993366,1169194623.5943408,1698626908.675175,
GW191105_143521,ok,65529,5000,25.14218793009291,17.427236676852186,30.126,29.877,25.317,-4.983812069907092,1169206635.857554,3866943360.699381,
GW191109_010717,ok,109061,5000,24.654342215679726,17.089087795358438,29.829,24.662,21.44,-5.174657784320274,1169112447.4542184,8753262382.47169,
GW191113_071753,ok,52362,5000,16.79461568599599,11.641140511335951,21.332,20.489,16.987,-4.5373843140040115,1169413413.2493982,6327356114.178479,
GW191126_115259,ok,55315,5000,20.838600286250962,14.444217035230523,23.554,23.415,19.365,-2.7153997137490364,1169104463.1222665,5031124525.10317,
GW191127_050227,ok,27156,5000,15.279592759576024,10.591006641404276,15.73,14.617,12.528,-0.45040724042397606,2630364011.8487115,91567868032.77797,
GW191129_134029,ok,77231,5000,29.730784391591264,20.607809376867113,33.358,32.3,26.9,-3.627215608408733,1169342939.6180272,1026780488.9478277,
GW191204_110529,ok,41745,5000,15.414700618072738,10.684656272592765,18.814,17.848,14.414,-3.3992993819272623,1169098827.8665287,10724680345.150139,
GW191204_171526,ok,128624,5000,49.430104991490616,34.2623379096338,41.326,39.465,33.031,8.104104991490615,1169788165.7136064,1384361671.1345732,
GW191215_223052,ok,6913,5000,21.481342938709762,14.889732292607961,25.763,24.791,21.096,-4.28165706129024,1169200840.752474,20565259633.717846,
GW191216_213338,ok,249520,5000,40.27649173315262,27.91753668768068,44.567,43.167,35.151,-4.290508266847382,1169344462.7683802,361583640.41068614,
GW191219_163120,ok,14965,5000,30.591059004887608,21.204106299580772,34.096,32.871,30.741,-3.5049409951123884,1162149861.2998257,683012344.9280505,
GW191222_033537,ok,26560,5000,15.24212730146673,10.565037564747431,18.363,17.926,15.116,-3.120872698533269,1169132405.0228233,16582131561.893192,
GW191230_180458,ok,21752,5000,12.671626667282327,8.783302297534961,16.752,16.312,14.302,-4.080373332717672,1169100724.9207332,69257422899.16115,
GW200112_155838,ok,68706,5000,22.526771665069134,15.614368266760334,27.205,26.345,21.884,-4.678228334930864,1169150847.6215143,5307814192.327998,
GW200128_022011,ok,26969,5000,14.402275805822873,9.982896868452839,17.755,16.979,14.047,-3.352724194177126,1169145312.2104256,20082644341.863094,
GW200129_065458,ok,87429,5000,38.46217579062799,26.659948707474776,42.267,39.647,34.928,-3.804824209372015,1169081586.3788202,26860768761.601463,
GW200202_154313,ok,126430,5000,42.7207756871343,29.611785218871,42.047,41.385,36.34,0.6737756871343024,1169341622.6605096,1160763107.8568263,
GW200208_130117,ok,38722,5000,26.34606360585733,18.261699707252994,29.785,29.241,27.535,-3.4389363941426687,1169150744.5172234,400938296766.0318,
GW200208_222617,ok,24495,5000,19.337409894423548,13.403671147651671,18.259,16.802,14.948,1.0784098944235474,4676142305.550315,52353657712.18676,
GW200209_085452,ok,30588,5000,16.591464621180727,11.500326923531501,18.608,18.039,15.507,-2.016535378819274,1169090639.891069,98411016066.7621,
GW200210_092254,ok,78491,5000,20.747336221867467,14.380957606316661,27.746,25.538,20.91,-6.998663778132531,1169707319.4189296,2135448006.4004169,
GW200216_220804,ok,17943,5000,11.53436547478416,7.995012908394615,13.743,13.16,10.767,-2.2086345252158406,1169088533.0802038,107461970650.24898,
GW200219_094415,ok,28386,5000,16.37510252415248,11.350356145996335,20.18,19.597,17.041,-3.8048974758475183,1169110812.1138444,109664109332.513,
GW200220_061928,ok,7327,5000,13.862720360160314,9.60890553253607,15.749,15.221,13.295,-1.886279639839687,7382854145.892919,192220226066.50552,
GW200220_124850,ok,13497,5000,14.679502083772894,10.175055481391023,16.079,15.699,13.159,-1.3994979162271068,2630393138.583766,36357697118.662605,
GW200224_222234,ok,88200,5000,33.69863719417418,23.358115359854338,35.337,34.324,31.686,-1.638362805825821,1169135405.6056988,60447571173.273544,
GW200225_060421,ok,88167,5000,27.543672478857467,19.09181892098661,28.944,27.745,25.144,-1.4003275211425326,1169208988.9146705,6962854658.927355,
GW200302_015811,ok,39475,5000,15.293051231503997,10.600335343275795,18.897,18.188,14.493,-3.603948768496002,1169096560.3050525,6134234072.620752,
GW200306_093714,ok,29333,5000,17.41288466674714,12.069691912171281,18.6,17.935,14.58,-1.1871153332528621,1169160950.2847154,15026262506.411583,
GW200308_173609,ok,3341,5000,7.408643396438243,5.135280282015225,7.498,6.818,4.815,-0.08935660356175745,10640384729.793236,11984331375.255598,
GW200311_115853,ok,109150,5000,35.70459288585127,24.748537891868487,36.759,36.003,33.348,-1.0544071141487308,1169160773.1989589,9193603566.497904,
GW200316_215756,ok,67196,5000,26.66336199499824,18.48163419108223,33.063,31.494,27.316,-6.399638005001762,1169247956.502694,12876258908.98563,
GW200322_091133,ok,4140,5000,6.283667950003996,4.355506723120161,6.711,6.224,5.001,-0.4273320499960045,7325023525.563162,20367119562.845055,
